TicketID,CreationDate,ResolutionDate,ReleaseIndex,ReleaseID,ReleaseName,ReleaseDate
"SYNCOPE-556","2014-10-02T10:23:33.000+0000","2014-10-03T08:01:17.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-554","2014-09-29T08:17:55.000+0000","2014-10-23T09:21:03.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-554","2014-09-29T08:17:55.000+0000","2014-10-23T09:21:03.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-553","2014-09-29T06:59:48.000+0000","2014-09-29T14:26:45.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-551","2014-09-23T14:30:43.000+0000","2014-09-23T14:33:14.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-549","2014-09-16T15:30:43.000+0000","2014-09-16T15:35:58.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-548","2014-09-15T12:59:09.000+0000","2014-09-15T15:20:23.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-547","2014-09-15T08:01:35.000+0000","2014-09-15T08:26:04.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-545","2014-09-04T09:21:26.000+0000","2014-09-05T08:46:46.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-545","2014-09-04T09:21:26.000+0000","2014-09-05T08:46:46.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-543","2014-08-27T07:55:51.000+0000","2014-09-08T12:17:26.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-543","2014-08-27T07:55:51.000+0000","2014-09-08T12:17:26.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-543","2014-08-27T07:55:51.000+0000","2014-09-08T12:17:26.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-540","2014-08-04T12:40:25.000+0000","2014-08-05T17:42:00.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-539","2014-07-30T15:15:46.000+0000","2014-08-06T09:57:41.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-532","2014-07-07T07:25:46.000+0000","2014-07-07T09:40:00.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-532","2014-07-07T07:25:46.000+0000","2014-07-07T09:40:00.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-531","2014-07-05T12:44:27.000+0000","2014-07-07T11:56:45.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-531","2014-07-05T12:44:27.000+0000","2014-07-07T11:56:45.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-515","2014-06-24T12:57:40.000+0000","2014-06-25T12:06:55.000+0000",17,"12326288","1.1.7","2014-04-11T00:00"
"SYNCOPE-515","2014-06-24T12:57:40.000+0000","2014-06-25T12:06:55.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-514","2014-06-23T15:19:30.000+0000","2014-06-25T15:04:29.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-512","2014-06-20T14:25:56.000+0000","2014-06-20T14:38:23.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-512","2014-06-20T14:25:56.000+0000","2014-06-20T14:38:23.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-510","2014-06-19T09:42:56.000+0000","2014-06-19T12:56:14.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-509","2014-06-19T07:43:12.000+0000","2014-06-19T12:40:55.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-509","2014-06-19T07:43:12.000+0000","2014-06-19T12:40:55.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-506","2014-06-12T12:29:24.000+0000","2014-06-13T09:39:35.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-504","2014-06-11T07:46:15.000+0000","2014-06-25T12:06:31.000+0000",17,"12326288","1.1.7","2014-04-11T00:00"
"SYNCOPE-504","2014-06-11T07:46:15.000+0000","2014-06-25T12:06:31.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-501","2014-06-10T08:59:42.000+0000","2014-06-17T09:24:55.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-501","2014-06-10T08:59:42.000+0000","2014-06-17T09:24:55.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-500","2014-06-06T12:46:01.000+0000","2014-06-06T15:51:16.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-500","2014-06-06T12:46:01.000+0000","2014-06-06T15:51:16.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-499","2014-06-03T16:55:33.000+0000","2014-06-05T13:33:02.000+0000",17,"12326288","1.1.7","2014-04-11T00:00"
"SYNCOPE-499","2014-06-03T16:55:33.000+0000","2014-06-05T13:33:02.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-495","2014-05-22T08:01:46.000+0000","2014-06-03T12:18:36.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-490","2014-05-08T08:36:00.000+0000","2014-05-13T11:50:11.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-489","2014-05-07T11:55:57.000+0000","2014-05-13T11:50:00.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-484","2014-03-12T15:05:12.000+0000","2014-03-13T07:14:33.000+0000",16,"12325662","1.1.6","2014-02-22T00:00"
"SYNCOPE-483","2014-03-11T10:04:43.000+0000","2014-05-13T14:02:41.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-482","2014-02-27T14:28:09.000+0000","2014-02-27T16:15:04.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-481","2014-02-12T01:57:40.000+0000","2014-03-28T09:18:09.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
"SYNCOPE-477","2014-01-15T08:17:08.000+0000","2014-01-15T09:58:19.000+0000",15,"12325150","1.1.5","2013-11-28T00:00"
